,Pair,Exchange
0,ACT/USDT,Okex
1,ARCT/USDT,Hitbtc
2,XAS/USDT,Okex
3,AXPR/BTC,Kucoin
4,CAT/BTC,Kucoin
5,BCX/BTC,Okex
6,KAN/BTC,Okex
7,BSD/BTC,Bittrex
8,BITS/BTC,Bittrex
9,XBP/BTC,Hitbtc
10,BTM/BTC,Okex
11,CENNZ/BTC,Hitbtc
12,CSM/BTC,Hitbtc
13,DAG/BTC,Kucoin
14,CAN/BTC,Okex
15,COSM/BTC,Hitbtc
16,CPC/BTC,Kucoin
17,CS/BTC,Kucoin
18,CMT/BTC,Binance
19,CVT/USDT,Okex
20,DACC/BTC,Kucoin
21,DPN/BTC,Hitbtc
22,DCC/BTC,Kucoin
23,DOCK/BTC,Binance
24,DRT/USDT,Hitbtc
25,DOR/USDT,Hitbtc
26,DWS/BTC,Hitbtc
27,EGT/BTC,Okex
28,EJOY/BTC,Hitbtc
29,EDR/BTC,Kucoin
30,ENGT/BTC,Hitbtc
31,IQX/BTC,Bitfinex
32,FAIR/USDT,Okex
33,HPB/BTC,Okex
34,HOT/BTC,Binance
35,HYC/BTC,Okex
36,IOTA/USDT,Binance
37,IPC/BTC,Okex
38,JOT/BTC,Hitbtc
39,KRM/USDT,Hitbtc
40,KIND/BTC,Hitbtc
41,LBA/USDT,Okex
42,LNC/BTC,Hitbtc
43,LET/USDT,Okex
44,LOC/BTC,Hitbtc
45,MAG/USDT,Okex
46,MXM/BTC,Hitbtc
47,MDT/BTC,Okex
48,MTN/BTC,Kucoin
49,MVP/BTC,Okex
50,MNX/BTC,Hitbtc
51,XMC/USDT,Hitbtc
52,MORE/BTC,Bittrex
53,NANJ/BTC,Hitbtc
54,NUSD/USDT,Kucoin
55,ORS/BTC,Okex
56,SOUL/BTC,Kucoin
57,POLY/BTC,Binance
58,PRE/BTC,Hitbtc
59,PAI/BTC,Bitfinex
60,RDN/BTC,Binance
61,SDA/BTC,Okex
62,SMT/BTC,Hitbtc
63,SPC/BTC,Hitbtc
64,SPD/BTC,Hitbtc
65,EURS/USDT,Hitbtc
66,SBD/BTC,Bittrex
67,TTU/BTC,Hitbtc
68,GET/BTC,Hitbtc
69,TKA/USDT,Hitbtc
70,VITE/BTC,Okex
71,WIKI/USDT,Hitbtc
72,YOU/BTC,Okex
73,YOYO/BTC,Binance
74,YCC/BTC,Hitbtc
75,ZCO/BTC,Okex
